URL,HTTP status,Title,Description,H1,Canonical,Robots,HTML language,Words including navigation/footer,Schema types
https://semoraai.com,200,Semora — Scan your syllabus. Never miss a deadline.,"Semora turns a syllabus photo or PDF into a full semester calendar, with every deadline, exam and grading weight organized automatically.",Scan your syllabus. Never miss a deadline.,https://semoraai.com,default,en,3015,WebSite; Organization; SoftwareApplication; FAQPage
https://semoraai.com/features,200,Features | Semora,"Everything Semora does: AI syllabus scanning, grade tracking, Smart Plan, flashcards, focus timer, AI tutor, Course Spaces, and Canvas sync.",Everything you need for the semester,https://semoraai.com/features,default,en,4724,WebSite; Organization; ItemList; FAQPage
https://semoraai.com/compare,200,Compare Semora,"Honest, feature-by-feature comparisons of Semora against DormWay, Shovel, StudyFetch, Mindgrasp, Taskade, Studley AI, and myHomework Student Planner.",See exactly how Semora stacks up,https://semoraai.com/compare,default,en,4458,WebSite; Organization; ItemList; FAQPage
https://semoraai.com/pricing,200,Pricing | Semora,"Semora is free to start. Pro is $3.99/month or $19.99/year, bought by card on the web or in the iOS app, and applied account-wide including web.",Simple pricing,https://semoraai.com/pricing,default,en,4595,WebSite; Organization; SoftwareApplication; FAQPage
https://semoraai.com/download,200,"Download Semora — iPhone, iPad, Apple Watch, and web","Get Semora on iPhone, iPad and Apple Watch, or open it in any browser. One account keeps every deadline, grade and course in sync across all of them. Android, Wear OS and Mac are in development.",One account. Every device you study on.,https://semoraai.com/download,default,en,1393,WebSite; Organization; FAQPage
https://semoraai.com/blog,200,College Study & Semester Planning Guides | Semora,"College guides for turning syllabi into calendars, calculating weighted grades, improving Canvas reminders, planning finals, and studying effectively.",The Semora Blog,https://semoraai.com/blog,default,en,1428,WebSite; Organization; Blog; FAQPage
https://semoraai.com/privacy,200,Privacy Policy | Semora,"How Semora collects, uses, and safeguards your information.",Privacy Policy,https://semoraai.com/privacy,default,en,1625,WebSite; Organization
https://semoraai.com/terms,200,Terms of Service | Semora,The terms that govern your use of Semora.,Terms of Service,https://semoraai.com/terms,default,en,1025,WebSite; Organization
https://semoraai.com/support,200,Support | Semora,"Answers to common questions about using Semora, plus how to reach us directly.",How can we help?,https://semoraai.com/support,default,en,4493,WebSite; Organization; FAQPage
https://semoraai.com/about,200,About Semora: Who Builds It and How It Works,"Semora is an independently built syllabus scanner and academic planner for college students. How it works, how your data is handled, and who to email.",About Semora,https://semoraai.com/about,default,en,4701,WebSite; Organization; FAQPage
